iter	Passed	Remaining
0	3	1590
1	6	1503
2	10	1798
3	13	1723
4	16	1652
5	25	2060
6	28	2018
7	35	2154
8	37	2071
9	41	2022
10	43	1952
11	46	1894
12	49	1847
13	52	1809
14	54	1759
15	56	1701
16	59	1679
17	61	1659
18	64	1633
19	67	1608
20	70	1605
21	73	1595
22	76	1587
23	79	1576
24	81	1556
25	84	1543
26	87	1535
27	91	1541
28	94	1531
29	96	1518
30	99	1506
31	102	1492
32	104	1485
33	107	1474
34	110	1470
35	113	1461
36	116	1456
37	118	1437
38	123	1462
39	125	1445
40	127	1429
41	129	1413
42	131	1397
43	133	1384
44	135	1370
45	137	1357
46	139	1344
47	142	1339
48	145	1335
49	148	1340
50	151	1335
51	153	1321
52	155	1313
53	157	1302
54	160	1301
55	163	1296
56	166	1296
57	170	1295
58	172	1291
59	175	1286
60	178	1281
61	181	1282
62	184	1279
63	187	1277
64	190	1273
65	192	1268
66	196	1266
67	198	1261
68	201	1257
69	204	1253
70	206	1250
71	209	1246
72	212	1241
73	215	1239
74	218	1235
75	219	1226
76	222	1222
77	225	1217
78	227	1212
79	230	1208
80	232	1202
81	235	1199
82	237	1194
83	241	1193
84	244	1191
85	246	1188
86	249	1183
87	252	1183
88	255	1180
89	258	1178
90	261	1175
91	264	1174
92	268	1175
93	272	1175
94	275	1174
95	278	1173
96	281	1171
97	284	1166
98	287	1164
99	290	1163
100	294	1162
101	297	1161
102	303	1169
103	306	1168
104	310	1167
105	313	1165
106	316	1163
107	320	1161
108	323	1160
109	326	1158
110	328	1152
111	332	1151
112	335	1150
113	339	1148
114	342	1146
115	344	1138
116	345	1132
117	348	1129
118	351	1125
119	354	1123
120	357	1120
121	360	1116
122	363	1114
123	366	1110
124	369	1107
125	371	1103
126	374	1099
127	377	1096
128	379	1092
129	383	1090
130	386	1087
131	387	1081
132	390	1076
133	392	1073
134	395	1070
135	398	1067
136	400	1061
137	403	1057
138	405	1054
139	408	1050
140	411	1048
141	415	1047
142	418	1044
143	420	1040
144	424	1038
145	426	1035
146	429	1032
147	431	1027
148	433	1022
149	436	1018
150	439	1015
151	442	1012
152	444	1009
153	447	1004
