iter	Passed	Remaining
154	449	1001
155	452	998
156	455	994
157	457	991
158	460	988
159	463	985
160	466	981
161	468	976
162	470	973
163	473	970
164	476	967
165	479	964
166	482	961
167	484	957
168	487	954
169	490	951
170	492	948
171	495	945
172	499	943
173	501	940
174	504	937
175	507	934
176	510	932
177	513	928
178	516	925
179	518	922
180	521	918
181	523	915
182	525	910
183	527	906
184	530	903
185	533	900
186	536	897
187	538	893
188	540	889
189	543	886
190	546	883
191	549	880
192	552	878
193	554	874
194	557	871
195	560	868
196	562	865
197	565	862
198	568	859
199	571	857
200	574	854
201	577	851
202	580	849
203	583	846
204	584	841
205	587	837
206	590	835
207	592	832
208	595	829
209	598	826
210	601	823
211	604	820
212	606	817
213	609	814
214	612	811
215	614	808
216	616	803
217	618	800
218	621	796
219	623	793
220	625	789
221	628	786
222	631	783
223	632	779
224	634	776
225	636	771
226	638	767
227	640	763
228	642	759
229	644	756
230	646	753
231	649	749
232	650	745
233	653	742
234	654	738
235	657	735
236	659	732
237	661	728
238	664	725
239	666	722
240	670	720
241	673	718
242	676	715
243	679	712
244	681	709
245	683	705
246	686	702
247	688	699
248	690	696
249	694	694
250	696	690
251	698	687
252	701	684
253	703	681
254	706	678
255	709	676
256	712	673
257	715	670
258	717	667
259	720	664
260	721	660
261	724	657
262	726	654
263	728	651
264	730	647
265	732	644
266	734	640
267	736	637
268	738	634
269	740	630
270	742	627
271	744	624
272	746	621
273	749	618
274	751	614
275	753	611
276	755	607
277	757	604
278	759	601
279	762	598
280	764	595
281	767	593
282	768	589
283	771	587
284	774	584
285	776	580
286	778	578
287	781	575
288	783	572
289	785	568
290	787	565
291	790	562
292	791	559
293	794	556
294	796	553
295	798	550
296	800	547
297	802	544
298	805	541
299	808	538
300	810	535
301	811	532
302	814	529
303	816	526
304	819	524
305	822	521
306	823	517
307	825	514
308	828	511
309	829	508
310	832	505
311	835	503
312	837	500
313	839	497
314	841	494
315	844	491
316	846	488
317	849	486
318	852	483
319	854	480
320	856	477
321	859	475
322	862	472
323	864	469
324	867	467
325	870	464
326	871	461
327	874	458
328	878	456
329	881	454
330	884	451
331	887	448
332	890	446
333	893	444
334	897	441
335	900	439
336	903	437
337	906	434
338	908	431
339	910	428
340	913	425
341	914	422
342	917	420
343	920	417
344	923	414
345	925	411
346	927	408
347	928	405
348	931	402
349	933	399
350	936	397
351	938	394
352	940	391
353	942	388
354	943	385
355	946	382
356	948	380
357	951	377
358	954	374
359	956	372
360	959	369
361	960	366
362	962	363
363	965	360
364	967	357
365	969	354
366	972	352
367	975	349
368	976	346
369	979	344
370	982	341
371	985	339
372	988	336
373	990	333
374	993	331
375	995	328
376	998	325
377	1001	323
378	1004	320
379	1007	318
380	1009	315
381	1012	312
382	1015	310
383	1018	307
384	1021	305
385	1023	302
386	1026	299
387	1028	296
388	1030	293
389	1032	291
390	1035	288
391	1038	286
392	1040	283
393	1043	280
394	1045	277
395	1047	275
396	1050	272
397	1052	269
398	1055	267
399	1058	264
400	1061	262
401	1064	259
402	1066	256
403	1068	253
404	1070	251
405	1073	248
406	1076	245
407	1078	243
408	1081	240
409	1082	237
410	1085	235
411	1088	232
412	1091	229
413	1094	227
414	1098	224
415	1101	222
416	1104	219
417	1106	217
418	1109	214
419	1112	211
420	1116	209
421	1118	206
422	1122	204
423	1125	201
424	1127	199
425	1130	196
426	1133	193
427	1135	191
428	1139	188
429	1142	185
430	1145	183
431	1147	180
432	1150	178
433	1154	175
434	1156	172
435	1158	170
436	1161	167
437	1165	164
438	1168	162
439	1171	159
440	1174	157
441	1176	154
442	1181	152
443	1183	149
444	1186	146
445	1189	143
446	1191	141
447	1194	138
448	1197	135
449	1199	133
450	1203	130
451	1207	128
452	1210	125
453	1212	122
454	1216	120
455	1219	117
456	1222	115
457	1225	112
458	1228	109
459	1231	107
460	1234	104
461	1237	101
462	1240	99
463	1243	96
464	1245	93
465	1248	91
466	1251	88
467	1252	85
468	1255	82
469	1258	80
470	1260	77
471	1263	74
472	1266	72
473	1268	69
474	1271	66
475	1272	64
476	1276	61
477	1279	58
478	1283	56
479	1286	53
480	1289	50
481	1292	48
482	1294	45
483	1297	42
484	1300	40
485	1303	37
486	1305	34
487	1306	32
488	1308	29
489	1310	26
490	1313	24
491	1316	21
492	1319	18
493	1321	16
494	1324	13
495	1325	10
496	1328	8
497	1332	5
498	1335	2
499	1338	0
