iter	Logloss
0	0.6832886746
1	0.6728349987
2	0.6638254868
3	0.6551005715
4	0.6461476778
5	0.6375040255
6	0.6288191143
7	0.6215452897
8	0.6140965913
9	0.6074463694
10	0.599840365
11	0.592360095
12	0.5855916174
13	0.5797010723
14	0.5718484176
15	0.564644663
16	0.5576620102
17	0.5515711935
18	0.5455138558
19	0.5398728722
20	0.5347154015
21	0.5288769069
22	0.5233991523
23	0.517977564
24	0.5120788875
25	0.5060555307
26	0.5008182024
27	0.495545839
28	0.4905053691
29	0.4857544146
30	0.4804246802
31	0.475286534
32	0.4703831422
33	0.4658223202
34	0.4611400805
35	0.4562413567
36	0.4519239727
37	0.4479291314
38	0.443723779
39	0.4392952166
40	0.4354890522
41	0.4322968533
42	0.428653717
43	0.4252912622
44	0.4215739903
45	0.4185433388
46	0.4150725415
47	0.4117928555
48	0.4081266805
49	0.405246584
50	0.4025026623
51	0.3995026036
52	0.3959125469
53	0.3926507046
54	0.3895671493
55	0.3866406993
56	0.385039706
57	0.382273925
58	0.3797097457
59	0.3768535162
60	0.3742098557
61	0.3714920847
62	0.368841096
63	0.3663828247
64	0.3635788215
65	0.361249221
66	0.35916218
67	0.357122095
68	0.354736805
69	0.352162311
70	0.3498977611
71	0.3480963707
72	0.3459380551
73	0.3438273731
74	0.3414019534
75	0.3393334339
76	0.337478989
77	0.335194663
78	0.3338685287
79	0.3316378092
80	0.3296097956
81	0.3275999772
82	0.3257953744
83	0.3241343749
84	0.3224525954
85	0.3210644471
86	0.319143747
87	0.3174145598
88	0.315487435
89	0.3139113627
90	0.3124197408
91	0.3106399335
92	0.309222899
93	0.3075463144
94	0.3060646559
95	0.3044940045
96	0.3027241857
97	0.3012384114
98	0.2995490777
99	0.298269824
100	0.2967293639
101	0.2954296062
102	0.293982556
103	0.2926101183
104	0.2913566891
105	0.2898693587
106	0.2884767432
107	0.2876875526
108	0.2865096142
109	0.2854187614
110	0.2842290276
111	0.2831693198
112	0.282415641
113	0.2811972217
114	0.2802641517
115	0.279085335
116	0.2779520938
117	0.2772888384
118	0.276329417
119	0.2750014255
120	0.274302056
121	0.2736322001
122	0.2726021315
123	0.271507464
124	0.2706057398
125	0.2695893739
126	0.2684386153
127	0.2674532439
128	0.2663113694
129	0.2652547736
130	0.2641398279
131	0.2633578903
132	0.2623464685
133	0.2618456389
134	0.2612494418
135	0.260357656
136	0.2596201646
137	0.2591293235
138	0.2585294121
139	0.2580466019
140	0.2572473727
141	0.256765717
142	0.2560241599
143	0.2552111776
144	0.254344363
145	0.2539003523
146	0.2531617566
147	0.2522030881
148	0.2515941168
149	0.250796569
150	0.2502577681
151	0.2496614958
152	0.248988001
153	0.24838558
154	0.2475812561
155	0.2472171282
156	0.2465074941
157	0.2460396917
158	0.2454320004
159	0.2449637714
160	0.2443390395
161	0.243962313
162	0.243660726
163	0.2429794512
164	0.2424232834
165	0.2421968862
166	0.2413876433
167	0.2408453791
168	0.2403715033
169	0.239819878
170	0.2392104801
171	0.238683023
172	0.2383681598
173	0.2378004225
174	0.2372636795
175	0.2366744845
176	0.2361667533
177	0.2360063352
178	0.235503799
179	0.2349655001
180	0.2344906958
181	0.2339764143
182	0.2338225967
183	0.2333461109
184	0.2328457832
185	0.2326026214
186	0.2321293981
187	0.2317607277
188	0.2312571877
189	0.2309359249
190	0.230594635
191	0.2301090893
192	0.2298080796
193	0.2297186601
194	0.2294465617
195	0.2290850941
196	0.2285108566
197	0.227940208
198	0.227723222
199	0.22742422
200	0.2269848773
201	0.2264658526
202	0.2262774769
203	0.2259195478
204	0.2256151501
205	0.2252822675
206	0.2249591978
207	0.224487656
208	0.2241126362
209	0.223798024
210	0.223679141
211	0.2234608751
212	0.2231464888
213	0.2229164525
214	0.2226281417
215	0.2221706039
216	0.2220106125
217	0.2217270701
218	0.2215040357
219	0.2212514375
220	0.2211084868
221	0.2208807092
222	0.2204680945
223	0.2202705835
224	0.2201404321
225	0.2196273553
226	0.2194688195
227	0.2193070462
228	0.2191758407
229	0.2189808645
230	0.2185787151
231	0.2183590437
232	0.2181680579
233	0.2178188374
234	0.2175522353
235	0.2172693955
236	0.2171120142
237	0.216739504
238	0.2163825035
239	0.2161078955
240	0.2159562111
241	0.2157409819
242	0.2155552412
243	0.2153303498
244	0.2152478569
245	0.2148118772
246	0.2145880649
247	0.2144399191
248	0.2142740049
249	0.2140476829
250	0.2138456043
251	0.2136476918
252	0.2134437059
253	0.2133517767
254	0.2131460591
255	0.2129902589
256	0.2127970143
257	0.2125380165
258	0.2124088689
259	0.2122966114
260	0.212198659
261	0.212133257
262	0.2118772707
263	0.2116888448
264	0.2115701625
265	0.2113469525
266	0.2112559268
267	0.211075582
268	0.2109771277
269	0.2108236363
270	0.2107051046
271	0.2102819618
272	0.2100085459
273	0.2098803144
274	0.2095166508
275	0.2093162537
276	0.2090623379
277	0.2089082065
278	0.2088351752
279	0.2086685582
280	0.2085651724
281	0.208234009
282	0.2081442632
283	0.2079218438
284	0.2077897473
285	0.2074422585
286	0.2072678616
287	0.2072297899
288	0.2070704385
289	0.206982713
290	0.2068237004
291	0.2067464653
292	0.206569772
293	0.2064993005
294	0.2063217038
295	0.2062229608
296	0.2061652008
297	0.2060513245
298	0.2059271712
299	0.205860163
300	0.2056443315
301	0.2053964138
302	0.2052756109
303	0.2050585621
304	0.2049467689
305	0.2048690194
306	0.2047876057
307	0.2047155531
308	0.2046814216
309	0.2044966597
310	0.2043521028
311	0.2042982453
312	0.2041913083
313	0.2040554097
314	0.203966994
315	0.2038783776
316	0.2036999025
317	0.20344359
318	0.2032400181
319	0.2030547669
320	0.2029547189
321	0.2027082569
322	0.2025597723
323	0.2024229451
324	0.2023614206
325	0.202306371
326	0.2022033742
327	0.2021220358
328	0.2020145215
329	0.2018608545
330	0.2017946369
331	0.2017401896
332	0.2016788031
333	0.2016411832
334	0.2014940036
335	0.2013124416
336	0.2011851261
337	0.2010095747
338	0.2007883724
339	0.2006920764
340	0.2006062206
341	0.200482494
342	0.200358441
343	0.2002196688
344	0.2001236238
345	0.2000524872
346	0.1999632559
347	0.1998189625
348	0.1997322534
349	0.1995551712
350	0.1995182916
351	0.1994307794
352	0.1993427653
353	0.199278706
354	0.1990059175
355	0.1989220318
356	0.1988067376
357	0.1986650291
358	0.1985839041
359	0.1985445023
360	0.1984636156
361	0.1983614219
362	0.1982582619
363	0.1981786929
364	0.1981083217
365	0.1980055759
366	0.1978814225
367	0.1978102107
368	0.1977139774
369	0.1975830354
370	0.197478194
371	0.1974003189
372	0.1973285926
373	0.197244343
374	0.1971317467
375	0.1970777261
376	0.1969474617
377	0.1968530856
378	0.1966768566
379	0.1966026959
380	0.1965066383
381	0.1964331426
382	0.1963704511
383	0.196273628
384	0.196198614
385	0.1961213539
386	0.196041973
387	0.1959510101
388	0.195865995
389	0.1957793236
390	0.195701436
391	0.1956033707
392	0.195407491
393	0.1953443728
394	0.195288633
395	0.1952050736
396	0.1950893904
397	0.1950154555
398	0.1949168506
399	0.1948797201
400	0.1948315846
401	0.1947893343
402	0.1946929881
403	0.1946342619
404	0.1945636147
405	0.1944848236
406	0.1944125577
407	0.1943871975
408	0.1943052442
409	0.1942178827
410	0.1941357161
411	0.1940515041
412	0.1939646319
413	0.1939167474
414	0.1937649626
415	0.1936657178
416	0.1935442874
417	0.1934729375
418	0.1933547949
419	0.1932704449
420	0.1932008517
421	0.1931771605
422	0.1931157614
423	0.1930798229
424	0.1930146719
425	0.1928876827
426	0.1927018166
427	0.1926098372
428	0.1925180084
429	0.1924647657
430	0.1924227664
431	0.1923350284
432	0.1922755116
433	0.1922021038
434	0.192111191
435	0.1920384231
436	0.1919581137
437	0.1918927996
438	0.1918256408
439	0.1916051664
440	0.1915488243
441	0.1914298785
442	0.1913625441
443	0.1912228685
444	0.1911170232
445	0.1910725393
446	0.19095983
447	0.1908746519
448	0.190796689
449	0.1906679304
450	0.1905844839
451	0.1904787515
452	0.1903430537
453	0.1901989611
454	0.1901439115
455	0.1900610924
456	0.1899957406
457	0.1898896067
458	0.1898075154
459	0.1897319367
460	0.1896811285
461	0.1896073693
462	0.1895423437
463	0.1894521211
464	0.1893527131
465	0.189206412
466	0.1891261402
467	0.1889722347
468	0.1888839948
469	0.188833563
470	0.188765576
471	0.188652666
472	0.1885360668
473	0.1884759853
474	0.1884307108
475	0.188368082
476	0.1882998316
477	0.188211165
478	0.1881635691
479	0.1880938379
480	0.1880055729
481	0.1879321776
482	0.187882574
483	0.1878037955
484	0.1877233355
485	0.187659615
486	0.1875808113
487	0.1875442831
488	0.1874692064
489	0.1874303316
490	0.1873486544
491	0.1872465736
492	0.1871935192
493	0.1871153681
494	0.1870580347
495	0.1870199881
496	0.1869177567
497	0.1868805885
498	0.1867015236
499	0.1866548187
